>	aa
91.321823	10.124968
91.321899	10.128340
91.322159	10.141932
91.322418	10.155242
91.322823	10.176537
91.323067	10.189201
91.323494	10.211138
91.323639	10.218812
91.323708	10.222124
91.323730	10.223147
91.324257	10.245736
91.324516	10.256977
91.325050	10.280329
91.325294	10.290803
91.325790	10.312522
91.325882	10.314919
91.325905	10.315589
91.326225	10.324471
91.327141	10.349505
91.327446	10.357860
91.328400	10.384088
91.328659	10.391244
91.329208	10.406250
91.329422	10.409342
91.330070	10.418666
91.330444	10.424070
91.332458	10.453241
91.332680	10.456443
91.334854	10.487812
91.334923	10.488811
91.335693	10.499999
91.335938	10.502046
91.336052	10.502995
91.338089	10.520267
91.338333	10.522379
91.341736	10.551241
91.342407	10.556942
91.345390	10.582212
91.346481	10.591501
91.346748	10.593750
91.347275	10.596792
91.349953	10.612285
91.352325	10.626057
91.355049	10.641823
91.358299	10.660608
91.360153	10.671359
91.362946	10.687500
91.363632	10.690598
91.364647	10.695155
91.365807	10.700354
91.371094	10.724132
91.372108	10.728701
91.372330	10.729699
91.378418	10.757045
91.380020	10.764239
91.383804	10.781250
91.384613	10.784366
91.384850	10.785263
91.388367	10.798774
91.392006	10.812763
91.397354	10.833306
91.399170	10.840263
91.406250	10.867479
91.406326	10.867762
91.406342	10.867834
91.408203	10.875000
91.409058	10.878100
91.413696	10.895041
91.415703	10.902357
91.421158	10.922242
91.425163	10.936877
91.428612	10.949440
91.433907	10.968750
91.434593	10.971393
91.434685	10.971750
91.435974	10.976722
91.441406	10.997559
91.443138	11.004205
91.443581	11.005904
91.450302	11.031684
91.452576	11.040412
91.457458	11.059162
91.458328	11.062500
91.458992	11.065543
91.461037	11.074916
91.463776	11.087463
91.468567	11.109415
91.469978	11.115874
91.476097	11.143911
91.476181	11.144285
91.476562	11.146029
91.478790	11.156250
91.479301	11.159365
91.481590	11.173468
91.482391	11.178402
91.486420	11.203219
91.487991	11.212889
91.491249	11.232967
91.493584	11.247372
91.494011	11.250000
91.494339	11.253130
91.495407	11.263367
91.497345	11.281851
91.498688	11.294630
